Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks
AUDJPY_Ticks_2007.04.01_2007.04.30.csv,AUDJPY,AUD/JPY,2007,April,0.028592796287987287,0.010379002984440014,0.005,0.18,0.06,25,744394
AUDUSD_Ticks_2007.04.01_2007.04.30.csv,AUDUSD,AUD/USD,2007,April,0.0001628156536875479,9.381104034056264e-05,-0.00114,0.00396,0.00045,33,96514
EURAUD_Ticks_2007.04.01_2007.04.30.csv,EURAUD,EUR/AUD,2007,April,0.00048634885262317665,0.00016109085076159902,0.0001,0.0027,0.0009,17,487329
EURGBP_Ticks_2007.04.01_2007.04.30.csv,EURGBP,EUR/GBP,2007,April,0.0001267908255219692,5.9938817861503735e-05,4e-05,0.0012,0.00027,11,850577
EURJPY_Ticks_2007.04.01_2007.04.30.csv,EURJPY,EUR/JPY,2007,April,0.019200298313153705,0.007542921143896354,0.005,0.24,0.04,8,1038506
EURUSD_Ticks_2007.04.01_2007.04.30.csv,EURUSD,EUR/USD,2007,April,0.00012166206499988499,4.738448166960849e-05,4e-05,0.0009,0.0003,15,1086925
GBPAUD_Ticks_2007.04.01_2007.04.30.csv,GBPAUD,GBP/AUD,2007,April,0.000515342401265031,0.0001361065370875731,0.00035,0.00296,0.0009,38,497063
GBPJPY_Ticks_2007.04.01_2007.04.30.csv,GBPJPY,GBP/JPY,2007,April,0.04351431853423942,0.01433359500452638,0.005,0.35,0.07,29,1119528
GBPUSD_Ticks_2007.04.01_2007.04.30.csv,GBPUSD,GBP/USD,2007,April,0.000178163956658216,7.506791364329162e-05,4e-05,0.0021,0.0004,20,1089849
USDJPY_Ticks_2007.04.01_2007.04.30.csv,USDJPY,USD/JPY,2007,April,0.0132497608733421,0.005932342951833528,0.0,0.175,0.03,9,1047562
AUDJPY_Ticks_2007.08.01_2007.08.31.csv,AUDJPY,AUD/JPY,2007,August,0.036598132132011844,0.017542215455228053,0.005,0.17,0.06,21,2895922
AUDUSD_Ticks_2007.08.01_2007.08.31.csv,AUDUSD,AUD/USD,2007,August,0.00020141335606026626,0.00011148449925916243,-0.00114,0.00066,0.00045,23,200643
EURAUD_Ticks_2007.08.01_2007.08.31.csv,EURAUD,EUR/AUD,2007,August,0.0005476603250748303,0.00026991321352088396,5e-05,0.0032,0.0009,18,1849851
EURGBP_Ticks_2007.08.01_2007.08.31.csv,EURGBP,EUR/GBP,2007,August,0.00015826893714273614,7.65930940772532e-05,4e-05,0.0013,0.00027,11,2264782
EURJPY_Ticks_2007.08.01_2007.08.31.csv,EURJPY,EUR/JPY,2007,August,0.021406603676776475,0.010279525411121244,0.005,0.24,0.04,8,4531415
EURUSD_Ticks_2007.08.01_2007.08.31.csv,EURUSD,EUR/USD,2007,August,0.00011674908567367318,6.50340893080873e-05,4e-05,0.0007,0.0003,21,2622696
GBPAUD_Ticks_2007.08.01_2007.08.31.csv,GBPAUD,GBP/AUD,2007,August,0.000515936727209221,0.00013267846160001993,0.00035,0.00296,0.0009,35,572600
GBPJPY_Ticks_2007.08.01_2007.08.31.csv,GBPJPY,GBP/JPY,2007,August,0.052519380091948425,0.021581867717043998,0.005,0.355,0.07,25,3515231
GBPUSD_Ticks_2007.08.01_2007.08.31.csv,GBPUSD,GBP/USD,2007,August,0.0002022428333017819,9.338576834480552e-05,4e-05,0.0021,0.0004,18,2635907
USDJPY_Ticks_2007.08.01_2007.08.31.csv,USDJPY,USD/JPY,2007,August,0.016168355211016023,0.007453085550952921,0.005,0.17,0.03,6,4117057
AUDJPY_Ticks_2007.12.01_2007.12.31.csv,AUDJPY,AUD/JPY,2007,December,0.03469308299570256,0.010989952876581081,0.004,0.17,0.06,24,2611087
AUDUSD_Ticks_2007.12.01_2007.12.31.csv,AUDUSD,AUD/USD,2007,December,0.00018118150981874683,7.147064737190202e-05,-0.00029,0.00071,0.00045,50,288326
EURAUD_Ticks_2007.12.01_2007.12.31.csv,EURAUD,EUR/AUD,2007,December,0.0005415305773176464,0.00017895834347732439,5e-05,0.0027,0.0009,18,2039224
EURGBP_Ticks_2007.12.01_2007.12.31.csv,EURGBP,EUR/GBP,2007,December,0.00017000783787779076,8.055628258608702e-05,4e-05,0.00115,0.00027,11,2888537
EURJPY_Ticks_2007.12.01_2007.12.31.csv,EURJPY,EUR/JPY,2007,December,0.022464300907806496,0.009738164323563767,0.005,0.26,0.04,8,3645821
EURUSD_Ticks_2007.12.01_2007.12.31.csv,EURUSD,EUR/USD,2007,December,0.00011701196716029079,6.520885690924005e-05,4e-05,0.0007,0.0003,21,2411349
GBPAUD_Ticks_2007.12.01_2007.12.31.csv,GBPAUD,GBP/AUD,2007,December,0.0005170676467026334,0.00013290890624399526,0.00035,0.00296,0.0009,34,511954
GBPJPY_Ticks_2007.12.01_2007.12.31.csv,GBPJPY,GBP/JPY,2007,December,0.060459487097533376,0.021564347243764825,0.005,0.34,0.07,37,7984481
GBPUSD_Ticks_2007.12.01_2007.12.31.csv,GBPUSD,GBP/USD,2007,December,0.00023898185797369186,0.00011241779928824841,4e-05,0.0021,0.0004,22,2151193
USDJPY_Ticks_2007.12.01_2007.12.31.csv,USDJPY,USD/JPY,2007,December,0.013945130904547869,0.0060877118619954455,0.005,0.165,0.03,6,2903948
AUDJPY_Ticks_2007.02.01_2007.02.28.csv,AUDJPY,AUD/JPY,2007,February,0.028899849857580387,0.00782741294220779,0.004,0.12,0.06,24,718651
AUDUSD_Ticks_2007.02.01_2007.02.28.csv,AUDUSD,AUD/USD,2007,February,0.00020669154571569415,8.240710736481146e-05,2e-05,0.0007,0.00045,44,3113865
EURAUD_Ticks_2007.02.01_2007.02.28.csv,EURAUD,EUR/AUD,2007,February,0.0006681818181818182,0.00014692655507910266,0.0004,0.0011,0.0009,6,66
EURGBP_Ticks_2007.02.01_2007.02.28.csv,EURGBP,EUR/GBP,2007,February,0.000131338423256489,4.365735833507374e-05,4e-05,0.0007,0.00027,11,282519
EURJPY_Ticks_2007.02.01_2007.02.28.csv,EURJPY,EUR/JPY,2007,February,0.020753636013575414,0.007306906277883976,0.004,0.07,0.04,16,418109
EURUSD_Ticks_2007.02.01_2007.02.28.csv,EURUSD,EUR/USD,2007,February,0.0001270067493253098,4.8850175567707496e-05,4e-05,0.0007,0.0003,12,1238346
GBPAUD_Ticks_2007.02.01_2007.02.28.csv,GBPAUD,GBP/AUD,2007,February,0.0005130814936561276,0.00013510290304715123,0.00034,0.00296,0.0009,37,1310556
GBPJPY_Ticks_2007.02.01_2007.02.28.csv,GBPJPY,GBP/JPY,2007,February,0.038607106744540536,0.011239449564722368,0.004,0.076,0.07,28,397566
GBPUSD_Ticks_2007.02.01_2007.02.28.csv,GBPUSD,GBP/USD,2007,February,0.00017710964006651734,7.156765567846022e-05,4e-05,0.0007,0.0004,16,343369
