Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20
AUDJPY_Ticks_2009.04.01_2009.04.30.csv,AUDJPY,AUD/JPY,2009,April,0.028282105828058676,0.009109387317586554,0.004,0.235,0.06,20,1759042,0.03,0.025,0.02,0.035,0.04,0.015,0.045,0.01,0.005,0.05,0.055,0.06,0.065,0.07,0.075,0.085,0.09,0.08,0.095,0.1
AUDUSD_Ticks_2009.04.01_2009.04.30.csv,AUDUSD,AUD/USD,2009,April,0.00021790136197071878,7.20825526253046e-05,-4e-05,0.00318,0.00045,20,999067,0.0002,0.00023,0.00025,0.00015,0.00024,0.00022,0.00019,0.00021,0.00018,0.0003,0.00016,0.00017,0.00026,0.00028,0.0001,0.00027,0.00014,0.00013,0.00029,0.00012
EURAUD_Ticks_2009.04.01_2009.04.30.csv,EURAUD,EUR/AUD,2009,April,0.0006846952088294732,0.00025180911912861526,5e-05,0.0035,0.0009,18,1764454,0.0006,0.0007,0.00055,0.00065,0.00075,0.0005,0.0008,0.00085,0.00045,0.0004,0.0009,0.00095,0.00035,0.001,0.00105,0.0003,0.0011,0.00115,0.00025,0.0012
EURGBP_Ticks_2009.04.01_2009.04.30.csv,EURGBP,EUR/GBP,2009,April,0.00020414298659909136,0.00010672110581804065,4e-05,0.00185,0.00027,11,1468781,0.00015,0.0002,0.0001,0.00025,0.0003,0.00035,5e-05,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.00034
EURJPY_Ticks_2009.04.01_2009.04.30.csv,EURJPY,EUR/JPY,2009,April,0.022886326983578707,0.010273008188902075,0.005,0.35,0.04,8,1713872,0.02,0.025,0.015,0.03,0.01,0.035,0.005,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
EURUSD_Ticks_2009.04.01_2009.04.30.csv,EURUSD,EUR/USD,2009,April,0.00011675871774616468,5.613507691814791e-05,3e-05,0.00111,0.0003,20,1506410,0.0001,0.00015,5e-05,0.0002,0.00025,0.0003,0.00035,0.00016,0.0004,0.00014,4e-05,6e-05,0.00045,0.0005,0.00024,0.00026,0.00055,0.0006,9e-05,0.00019
GBPAUD_Ticks_2009.04.01_2009.04.30.csv,GBPAUD,GBP/AUD,2009,April,0.0005216678965734738,0.00013606086302263144,0.00035,0.00296,0.0009,20,559663,0.0005,0.00045,0.00055,0.0004,0.0006,0.00056,0.00075,0.00054,0.00044,0.0007,0.0008,0.00046,0.00065,0.00076,0.0009,0.00064,0.00066,0.00074,0.00095,0.00096
GBPJPY_Ticks_2009.04.01_2009.04.30.csv,GBPJPY,GBP/JPY,2009,April,0.04463705897934416,0.01832315805284191,0.005,0.495,0.07,20,1732827,0.04,0.045,0.035,0.05,0.03,0.055,0.025,0.06,0.065,0.02,0.07,0.075,0.015,0.08,0.085,0.01,0.09,0.005,0.095,0.1
GBPUSD_Ticks_2009.04.01_2009.04.30.csv,GBPUSD,GBP/USD,2009,April,0.00023159975415078653,0.00012954485870304554,4e-05,0.0024,0.0004,19,1441534,0.0002,0.00025,0.00015,0.0003,0.0001,5e-05,0.00035,0.0004,0.00045,0.0005,0.00055,0.0006,0.00065,0.0007,0.00075,0.0008,0.00085,0.0009,0.00095,0.001
USDJPY_Ticks_2009.04.01_2009.04.30.csv,USDJPY,USD/JPY,2009,April,0.012944145671544952,0.005573014517492917,0.005,0.27,0.03,6,1282282,0.01,0.015,0.02,0.005,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.1,0.095
