Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks
AUDJPY_Ticks_2007.01.01_2007.01.31.csv,AUDJPY,AUD/JPY,2007,January,0.028900902,0.007827515,0.004,0.12,0.06,24,826186
AUDJPY_Ticks_2012.08.01_2012.08.31.csv,AUDJPY,AUD/JPY,2012,August,0.014997149,0.003665494,0.001,0.106,0.06,60,1486651
AUDJPY_Ticks_2017.12.01_2017.12.31.csv,AUDJPY,AUD/JPY,2017,December,0.008097884,0.006469606,0.001,0.314,0.06,60,1401122
AUDUSD_Ticks_2007.01.01_2007.01.31.csv,AUDUSD,AUD/USD,2007,January,0.000206695,8.24E-05,2.00E-05,0.0007,0.00045,44,3580639
AUDUSD_Ticks_2012.08.01_2012.08.31.csv,AUDUSD,AUD/USD,2012,August,0.000123386,2.98E-05,1.00E-05,0.00154,0.00045,45,1497186
AUDUSD_Ticks_2017.12.01_2017.12.31.csv,AUDUSD,AUD/USD,2017,December,9.29E-05,3.64E-05,1.00E-05,0.00302,0.00045,45,880903
EURAUD_Ticks_2007.01.01_2007.01.31.csv,EURAUD,EUR/AUD,2007,January,0.000612121,0.000153618,0.0003,0.0009,0.0009,7,33
EURAUD_Ticks_2012.08.01_2012.08.31.csv,EURAUD,EUR/AUD,2012,August,0.00018108,4.40E-05,1.00E-05,0.00208,0.0009,90,2076490
EURAUD_Ticks_2017.12.01_2017.12.31.csv,EURAUD,EUR/AUD,2017,December,0.000184342,8.04E-05,1.00E-05,0.00329,0.0009,90,2036734
EURGBP_Ticks_2007.01.01_2007.01.31.csv,EURGBP,EUR/GBP,2007,January,0.000131321,4.36E-05,4.00E-05,0.0007,0.00027,11,327543
EURGBP_Ticks_2012.08.01_2012.08.31.csv,EURGBP,EUR/GBP,2012,August,0.00011264,3.22E-05,1.00E-05,0.00111,0.00027,27,1270160
EURGBP_Ticks_2017.12.01_2017.12.31.csv,EURGBP,EUR/GBP,2017,December,9.94E-05,6.01E-05,1.00E-05,0.00349,0.00027,27,1667757
EURJPY_Ticks_2007.01.01_2007.01.31.csv,EURJPY,EUR/JPY,2007,January,0.020748841,0.007304276,0.004,0.07,0.04,16,482731
EURJPY_Ticks_2012.08.01_2012.08.31.csv,EURJPY,EUR/JPY,2012,August,0.014054614,0.003645137,0.001,0.264,0.04,40,1650889
EURJPY_Ticks_2017.12.01_2017.12.31.csv,EURJPY,EUR/JPY,2017,December,0.007046951,0.006558469,0.001,0.342,0.04,40,2324006
EURUSD_Ticks_2007.01.01_2007.01.31.csv,EURUSD,EUR/USD,2007,January,0.000126996,4.88E-05,4.00E-05,0.0007,0.0003,12,1424903
EURUSD_Ticks_2012.08.01_2012.08.31.csv,EURUSD,EUR/USD,2012,August,8.78E-05,2.42E-05,1.00E-05,0.0007,0.0003,30,1769923
EURUSD_Ticks_2017.12.01_2017.12.31.csv,EURUSD,EUR/USD,2017,December,3.07E-05,3.17E-05,1.00E-05,0.00191,0.0003,30,1606578
GBPAUD_Ticks_2007.01.01_2007.01.31.csv,GBPAUD,GBP/AUD,2007,January,0.000514046,0.00013505,0.00034,0.00296,0.0009,36,1496289
GBPAUD_Ticks_2012.08.01_2012.08.31.csv,GBPAUD,GBP/AUD,2012,August,0.000314203,8.79E-05,3.00E-05,0.00229,0.0009,88,1646055
GBPAUD_Ticks_2017.12.01_2017.12.31.csv,GBPAUD,GBP/AUD,2017,December,0.000261848,0.000135753,1.00E-05,0.00499,0.0009,90,2601227
GBPJPY_Ticks_2007.01.01_2007.01.31.csv,GBPJPY,GBP/JPY,2007,January,0.038609061,0.011239095,0.004,0.076,0.07,28,457509
GBPJPY_Ticks_2012.08.01_2012.08.31.csv,GBPJPY,GBP/JPY,2012,August,0.018942349,0.00531692,0.002,0.181,0.07,69,1540794
GBPJPY_Ticks_2017.12.01_2017.12.31.csv,GBPJPY,GBP/JPY,2017,December,0.017140234,0.015992424,0.001,0.467,0.07,70,2534531
GBPUSD_Ticks_2007.01.01_2007.01.31.csv,GBPUSD,GBP/USD,2007,January,0.00017713,7.16E-05,4.00E-05,0.0007,0.0004,16,395286
GBPUSD_Ticks_2012.08.01_2012.08.31.csv,GBPUSD,GBP/USD,2012,August,0.000142134,3.83E-05,2.00E-05,0.00127,0.0004,39,1564993
GBPUSD_Ticks_2017.12.01_2017.12.31.csv,GBPUSD,GBP/USD,2017,December,8.68E-05,7.12E-05,1.00E-05,0.00394,0.0004,40,1919965
USDJPY_Ticks_2007.01.01_2007.01.31.csv,USDJPY,USD/JPY,2007,January,0.016017654,0.006384014,0.004,0.06,0.03,12,470826
USDJPY_Ticks_2012.08.01_2012.08.31.csv,USDJPY,USD/JPY,2012,August,0.007285605,0.002213256,0.001,0.121,0.03,30,705751
USDJPY_Ticks_2017.12.01_2017.12.31.csv,USDJPY,USD/JPY,2017,December,0.003815331,0.003658948,0.001,0.175,0.03,30,1336112
